221034, 10016, 2031CC1,  ,  ,  ,  ,  ,  , 
221124,  , 1730A3, 1205A1,  , 1122CT4, 08338,  , 23018, 
221127, 1122CT2, 08332,  ,  , 27079, 0842CE0, 10012,  , 
221130, 1122CT:, 10019, 1730A2, 08331,  , 27070, 0842CE4, 1162DPPA2, 
221133, 23013, 0397A2,  , 1122CT3, 1730A8, 0842CE8, 10015, 27074, 
221136, 27077, 1205A0, 23015, 08336,  ,  , 2031CC3,  , 
221139, 1201A0, 1122CT0, 1162DPPA3,  , 08330, 1730A1, 1113AAF:, 27078, 
221142,  , 1113AAF3, 0397A0,  , 1122CT<, 0833;,  , 10011, 
221145, 1281A0, 27071, 23010,  , 10013,  , 08337, 2031CC0, 
221148, 0842CE5, 2031CC1, 08333, 0397A4, 10018,  , 1162DPPA9,  , 
221151, 2301:, 1281A1,  , 0842CE7, 08335, 10010, 27073, 1730A9, 
221154, 08339,  , 27072, 23014, 0397A1, 2031CC2, 1122CT6, 0842CE3, 
221157,  , 1730A3, 1281A2, 08331,  , 1122CT?, 23019, 10014, 
221160,  , 1201A1, 1730A2,  , 1113AAF7, 1162DPPA8, 27073, 0397A7, 
221163, 1122CT2, 10019, 0397A0, 23014, 27079, 1113AAF1, 0842CE4, 1162DPPA:, 
221166, 0397A3, 23011,  ,  , 1730A8, 1001:, 0833:, 1122CT5, 
221169, 1113AAF6, 1162DPPA4, 0397A8,  ,  , 27070,  , 23012, 
221172, 10016,  , 1113AAF5, 08336,  , 2031CC2,  , 23018, 
221175,  , 1281A1, 1122CT1,  , 1162DPPA6, 08338, 27076, 10011, 
221178, 1162DPPA7, 08332,  ,  , 0842CE6, 1205A2, 10012, 27074, 
221181,  , 0842CE:, 23010, 10017, 1122CT4,  , 2031CC3, 27078, 
221184, 23013, 1122CT0,  ,  , 0397A1, 0833;, 10015, 1730A9, 
221187, 2301:, 1122CT8,  ,  , 27079, 10010,  , 08334, 
221190, 27077, 1281A1, 23015,  , 10013,  , 08337, 2031CC0, 
221193,  , 10019, 27072, 23014,  , 1122CT7, 0842CE4, 1162DPPA:, 
221196, 0397A3, 2031CC1, 08333,  , 10018,  , 23019,  , 
221199,  , 1113AAF3, 1162DPPA3,  , 08330, 27070,  , 23012, 
221202,  , 0397A2, 1113AAF5, 1122CT3, 08335, 27075,  , 23018, 
221205, 08339,  , 23010, 10017, 1113AAF7,  , 2031CC3,  , 
221208, 1281A0, 23011,  , 08331,  , 1001:, 1730A5, 27074, 
221211, 10016,  , 27072, 08336,  , 2031CC2,  , 23012, 
221214, 1122CT2, 23017,  , 0397A4, 0842CE6, 1113AAF9, 10012, 1162DPPA2, 
221217, 23013, 0842CE2,  ,  , 1162DPPA6,  , 0833:, 2031CC0, 
221220,  , 1205A0, 1730A2,  , 08330, 23016, 27073, 10014, 
221223, 1122CT:, 10019, 1205A1, 23014, 08335, 27070, 0842CE4, 1162DPPA:, 
221226, 2301:, 08332,  ,  , 1730A8, 10010, 27076, 1113AAF0, 
221229, 08339,  , 27072, 23014,  , 2031CC2, 1122CT>, 0842CE3, 
221232, 1162DPPA7, 23011,  ,  ,  , 1001:,  , 08334, 
221235,  , 1162DPPA4, 0397A0, 08331,  , 1730A6,  , 23018, 
221238, 27077, 23017,  ,  , 10013, 08338, 2031CC3, 1113AAF8, 
221241,  , 2031CC1, 08333,  , 10018,  , 1730A5,  , 
221244,  , 1730A3, 1162DPPA3,  , 1122CT4, 1113AAF1,  , 23012, 
221247, 27077, 1122CT0, 0842CE9, 10017,  ,  , 23019, 2031CC0, 
221250,  , 1201A1, 1730A2,  , 27079, 0833;,  , 10011, 
221253, 0842CE5, 2031CC1, 08333, 1730A7, 10013,  , 1162DPPA9,  , 
221256, 1201A0, 10019, 1122CT9, 23014, 1730A8, 1162DPPA0, 0842CE4, 27074, 
221259, 23013,  ,  , 0842CE7,  , 2031CC2, 10012, 27078, 
221262, 1113AAF6, 1162DPPA4, 1205A1,  ,  , 1122CT7, 0397A5, 27074, 
221265, 10016,  , 1113AAF5, 23014,  , 2031CC2, 27073, 0842CE3, 
221268, 2301:, 1113AAF3,  ,  , 0842CE6, 27070, 08337, 1162DPPA2, 
221271,  , 23011,  , 1113AAF4,  , 10010,  , 1162DPPA:, 
221274,  , 0842CE2, 23015,  , 10018,  , 0833:, 1113AAF0, 
221277, 1730A4, 10019, 27072, 08336,  , 1162DPPA8, 0842CE4, 1113AAF8, 
221280, 27077, 0842CE:, 23010, 10017, 08330,  , 1162DPPA1, 2031CC0, 
221283, 1122CT2, 27071, 0842CE1, 1730A7, 1113AAF7,  , 2031CC3, 10014, 
221286, 10016,  , 1281A2, 0397A4, 27079, 2031CC2,  , 23018, 
221289, 1113AAF6, 23017,  ,  , 0397A1, 1001:,  , 08334, 
221292, 23013, 1122CT0,  , 0842CE7,  , 1113AAF9, 10012, 27078, 
221295,  , 1122CT8, 1162DPPA3,  , 08335, 23016, 27073, 10011, 
221298, 08339,  , 1122CT1,  , 1162DPPA6, 2031CC2, 23019, 10014, 
221301, 27077, 1201A1, 23015,  , 10013, 08338, 0397A5, 2031CC0, 
221304, 3034CC0,  ,  , 1122CT3, 0842CE6, 27075, 10015,  , 
221307,  , 08332,  ,  , 27079, 10010, 3034CC6, 1113AAF8, 
221310, 0842CE5, 3034CC7, 23010,  , 10018, 0833;, 1162DPPA1,  , 
221313,  , 0842CE2, 27072, 3034CC1, 1122CT<,  ,  , 23012, 
221316,  , 0842CE:, 3034CC2,  , 10013,  , 27073,  , 
221319,  , 1162DPPA4, 1113AAF5, 1122CT;,  , 23016, 27076, 10011, 
221322, 1162DPPA7, 23017,  , 08331,  , 1001:, 1122CT6, 27074, 
221325, 23013, 1113AAF3,  , 08336,  , 27070, 10012, 1162DPPA:, 
221328, 27077,  , 23010,  , 3034CC3,  , 08337, 1730A9, 
221331, 1201A0, 27071, 23015, 10017, 08330, 3034CC5, 1730A5, 1113AAF0, 
221334,  , 1730A3, 111538, 1162DPPA5,  , 27075,  , 3034CC4, 
221337, 2301:, 1281A1,  , 3034CC1,  ,  , 10015, 1113AAF8, 
221340,  , 1201A1, 1730A2, 111532, 08335, 1113AAF9, 3034CC6, 23012, 
221343,  , 0842CE2, 27072, 1730A7, 3034CC3,  , 23019, 10014, 
221346,  , 10019, 1162DPPA3, 08331,  , 0397A6, 27073, 0842CE3, 
221349, 3034CC0, 23011,  ,  , 0842CE6, 10010, 0833:,  , 
221352,  , 23017,  ,  ,  , 1001:, 27076, 0397A7, 
221355, 23013, 11153<,  ,  ,  , 0842CE8, 10012, 27074, 
221358, 08339,  , 1201A2, 23014,  , 1122CT?, 0842CE4, 27078, 
221361, 1122CT:, 1113AAF3, 0397A0,  ,  , 27070,  , 3034CC4, 
221364, 2301:, 08332,  , 0842CE7,  , 27075, 10015, 1201B3, 
221367,  , 0842CE:, 0397A8, 1201B1, 10013, 3034CC5,  , 08334, 
221370,  , 1281A1, 0842CE1, 3034CC1, 10018,  ,  , 08334, 
221373, 08339,  , 0842CE9, 1730A7, 0397A1, 23016, 3034CC6, 10011, 
221376,  , 1162DPPA4, 1113AAF5,  , 1201B0, 0397A6, 23019, 10014, 
221379,  , 10019, 1162DPPA3, 23014, 111539, 1205A2, 27076, 0842CE3, 
221382,  , 23011,  ,  , 0842CE6, 08338, 0397A5, 27074, 
221385,  , 1201A1, 1122CT1,  ,  , 27070,  , 3034CC4, 
221388, 10016,  , 111530, 23014, 1113AAF7, 27075, 0842CE4, 1162DPPA2, 
221391, 1113AAF6, 10019, 27072, 08336,  , 1201B4, 3034CC6, 23018, 
221394, 0842CE5, 111534, 23010, 10017, 3034CC3,  ,  , 27078, 
221397,  , 1730A3, 0397A8,  , 27079, 23016,  , 3034CC4, 
221400, 27077, 3034CC7, 23015,  , 10013,  , 1162DPPA1,  , 
221403,  , 0842CE:, 08333, 1730A7, 10018,  , 23019,  , 
221406, 3034CC0, 23017,  , 1162DPPA5,  , 1001:, 27073,  , 
221409, 23013, 08332,  , 1122CT3, 1730A8, 0842CE8, 10012, 1162DPPA:, 
221412,  ,  , 1113AAF5,  , 111531, 23016, 0842CE4, 10014, 
221415, 2301:, 1201A1,  , 0842CE7, 08330, 1730A6, 10015, 27074, 
221418, 10016,  , 1201A2, 23014, 08335, 1122CT7, 1730A5, 0842CE3, 
221421,  , 10019, 27072, 23014, 1162DPPA6, 0397A6, 0842CE4, 1730A9, 
221424, 27077,  , 23010, 08331,  , 3034CC5, 1122CT6, 0397A7, 
221427,  , 1205A0, 1730A2,  , 111539, 27075, 23019, 10011, 
221430,  , 1730A3, 0397A0,  , 27079, 0833;, 3034CC6, 23012, 
221433, 111533, 3034CC7, 08333, 1730A7, 10013,  ,  ,  , 
221436, 1201A0, 23011,  ,  , 0842CE6, 10010, 1122CT>, 27074, 
221439, 10016,  , 0397A8, 23014,  , 1113AAF9, 27073, 0842CE3, 
221442, 1113AAF6, 10019, 1281A2, 08336,  , 27070, 0842CE4, 111535, 
221445, 10016,  , 27072, 23014,  , 1162DPPA8, 1730A0, 0842CE3, 
221448, 1162DPPA7, 10019, 27072, 23014,  , 1205A2, 0842CE4, 1122CT5, 
221451, 11153;, 23017,  ,  , 1201B0, 1001:,  , 3034CC4, 
221454, 23013, 08332,  , 3034CC1, 0397A1,  , 10012, 27078, 
221457,  , 1730A3, 1162DPPA3,  ,  , 23016, 08337, 10014, 
221460, 27077, 0842CE2, 3034CC2,  , 10018,  , 0833:,  , 
221463, 1122CT2, 0842CE:, 23015, 10017, 3034CC3,  , 1162DPPA9, 1113AAF0, 
221466, 1201A0, 11153<, 0842CE1,  , 10013, 3034CC5,  , 23018, 
221469, 10016,  , 111538, 23014,  , 1730A1, 1201B2, 0842CE3, 
221472,  , 1205A0, 1113AAF5, 111532, 08330, 27070, 23019, 10011, 
221475, 3034CC0, 0397A2, 23010, 1113AAF4, 10018,  , 27073,  , 
221478, 2301:, 1162DPPA4,  , 11153:, 08335, 0842CE8, 10015, 1201B3, 
221481,  , 1122CT0, 0397A0,  ,  , 08338, 3034CC6, 23012, 
221484, 0842CE5, 1113AAF3, 0397A8, 3034CC1, 1162DPPA6,  ,  , 23018, 
221487, 27077, 3034CC7,  , 0397A4,  , 10010,  , 08334, 
221490,  ,  , 1730A2,  , 27079, 23016, 0842CE4, 10014, 
221493, 1281A0, 23017, 3034CC2, 0842CE7, 1113AAF7, 1001:,  ,  , 
221496, 3034CC0, 0842CE:, 08333, 1122CT;, 111539,  , 10012,  , 
221499, 2301:,  ,  ,  , 0842CE6, 0833;, 10015, 27074, 
221502,  , 3034CC7,  , 08331,  , 10010,  ,  , 
221505,  , 23017, 3034CC2,  ,  , 1001:, 08337,  , 
221508, 08339,  ,  , 0842CE7, 1201B0, 1122CT7, 10012,  , 
221511, 2301:, 1113AAF3,  ,  , 0842CE6, 1122CT?, 10015, 1162DPPA2, 
221514, 1730A4, 10019, 1162DPPA3, 23014,  , 111537, 1113AAF:, 0842CE3, 
221517, 27077, 1201A1, 23015,  , 3034CC3,  , 1162DPPA9,  , 
221520,  , 27071, 23010, 1162DPPA5, 10018, 3034CC5, 1122CT>, 0397A7, 
221523, 0842CE5,  , 27072, 3034CC1,  ,  ,  , 23012, 
221526, 1122CT2, 23011,  , 1201B1, 1730A8, 10010,  , 08334, 
221529,  , 23017,  ,  , 1162DPPA6, 1001:, 3034CC6, 1122CT5, 
221532, 10016,  , 27072, 23014,  , 1730A6, 0842CE4, 1162DPPA2, 
221535, 1122CT:, 0842CE2, 23015,  , 3034CC3,  , 1730A0, 27074, 
221538,  , 0842CE:, 23010, 1113AAF4, 10018, 3034CC5, 27073, 111535, 
221541, 27077,  , 0842CE1, 08336,  ,  ,  , 23018, 
221544, 08339,  , 0842CE9, 0397A4, 3034CC3,  ,  , 23012, 
221547,  , 1201A1, 1162DPPA3,  ,  , 1113AAF1, 0833:, 10011, 
221550, 23013, 08332,  , 0842CE7, 27079, 1162DPPA0, 10012, 11153=, 
221553, 0842CE5, 27071, 1201A2,  , 1122CT4, 08338,  , 3034CC4, 
221556, 1201A0, 111534, 1122CT1,  , 1730A8, 27070, 23019, 10011, 
221559,  , 11153<, 1122CT9, 1162DPPA5,  , 23016, 27073, 10014, 
221562, 2301:, 1113AAF3,  ,  , 0842CE6, 27075, 10015, 1162DPPA:, 
221565, 1162DPPA7, 23011,  ,  , 1201B0, 0833;, 3034CC6, 27074, 
221568,  , 1122CT8, 1281A2,  , 08330, 1113AAF9, 23019, 10011, 
221571, 1113AAF6, 10019, 27072, 23014, 08335, 0397A6, 1205A3, 0842CE3, 
221574, 1730A4, 1162DPPA4, 111538,  ,  , 1201B4, 08337, 3034CC4, 
221577, 27077, 3034CC7, 08333, 111532,  , 1001:, 1162DPPA1,  , 
221580, 23013, 0842CE:, 3034CC2, 1122CT;,  ,  , 10012,  , 
221583,  ,  , 23015,  , 10018, 3034CC5,  , 1113AAF8, 
221586, 08339,  , 0397A8, 1201B1, 1122CT<, 23016, 0842CE4, 10014, 
221589, 2301:,  ,  ,  , 111531, 0842CE8, 0833:, 1162DPPA2, 
221592, 10016,  , 1201A2, 23014,  , 1122CT?, 27073, 0842CE3, 
221595, 1201A0, 08332,  , 0842CE7, 111539, 10010, 1122CT6, 27074, 
221598,  , 1201A1, 23010, 3034CC1,  ,  , 27076, 1730A9, 
221601, 0842CE5, 23017,  , 08331,  , 1001:, 1730A5, 1122CT5, 
221604,  , 1730A3, 1162DPPA3,  , 0397A1, 111537, 3034CC6, 23012, 
221607,  , 1162DPPA4, 1730A2,  ,  , 0397A6, 23019, 10011, 
221610, 3034CC0, 0842CE2,  , 08336,  ,  , 10012,  , 
221613,  , 0842CE:, 1122CT1, 1162DPPA5, 3034CC3,  ,  , 08334, 
221616,  , 3034CC7, 23015,  , 10018, 08338, 1113AAF:,  , 
221619, 2301:, 0397A2, 08333, 1113AAF4, 0842CE6, 1205A2, 10015,  , 
221622,  , 10019, 27072, 23014, 08330, 1730A1, 0842CE4, 111535, 
221625,  , 1205A0, 0397A8,  , 1113AAF7, 0833;,  , 3034CC4, 
221628, 1122CT2,  , 23010, 10017,  , 3034CC5, 1730A5, 27074, 
221631,  , 1201A1, 1122CT9,  ,  , 27075, 3034CC6, 23018, 
221634, 1162DPPA7, 23011,  ,  , 08335, 10010,  , 3034CC4, 
221637, 0842CE5, 1281A1, 23015, 08331,  ,  , 0397A5, 10014, 
221640,  , 0842CE2, 1205A1,  , 1122CT4, 23016, 3034CC6, 10011, 
221643, 10016,  , 1201A2, 1730A7, 27079, 1113AAF9,  , 3034CC4, 
221646, 3034CC0, 23017,  ,  , 1730A8, 1001:, 08337,  , 
221649, 1162DPPA7, 10019, 27072, 08336,  , 1205A2, 0842CE4, 0397A7, 
221652, 23013, 1122CT0,  , 0842CE7, 08330, 1730A1, 10012, 27074, 
221655, 0397A3, 1113AAF3, 111538,  ,  , 27070, 0833:, 10014, 
221658,  , 1122CT8, 1201A2,  , 08335, 1162DPPA8, 27076, 1113AAF8, 
221661, 1201A0, 0397A2, 1113AAF5,  ,  , 08338, 3034CC6, 23018, 
221664, 2301:, 0842CE:,  , 20412, 1113AAF7,  , 10015, 1201B3, 
221667,  , 1730A3, 23010, 11153:, 10013,  , 20416, 27078, 
221670, 20411, 27071, 23015, 1113AAF4, 10018,  , 1162DPPA9,  , 
221673, 111533, 23011,  , 1122CT;, 0842CE6, 10010,  , 1162DPPA2, 
221676,  , 23017,  ,  , 1730A8, 1001:, 2041:, 1162DPPA:, 
221679,  , 1201A1, 1162DPPA3,  , 20410, 23016, 27073, 10011, 
221682, 20415, 1162DPPA4,  , 1201B1,  , 0842CE8, 10012,  , 
221685, 10016,  , 1201A2, 23014, 111539, 1122CT?, 1730A0, 0842CE3, 
221688, 2301:,  ,  , 1162DPPA5, 20419,  , 10015, 1113AAF0, 
221691,  , 23011,  , 10017, 1162DPPA6,  , 1122CT>, 20413, 
221694, 1730A4, 23017,  , 0842CE7,  , 20414,  , 1162DPPA2, 
221697,  , 0842CE:, 1281A2,  , 10013,  ,  , 20417, 
221700, 1122CT2, 10019, 27072, 23014, 1201B0, 1162DPPA0, 0842CE4, 111535, 
221703, 23013,  ,  , 1730A7, 0842CE6, 1001:,  , 1162DPPA:, 
221706, 10016,  , 1205A1,  , 111531, 1162DPPA8,  , 23018, 
221709, 11153;, 10019, 1113AAF5, 23014,  , 20418, 0842CE4, 27074, 
221712,  , 111534, 1162DPPA3,  , 20410, 27075,  , 23012, 
221715,  , 11153<, 1122CT9, 1113AAF4, 20419, 1205A2, 23019, 10014, 
221718, 1281A0, 1122CT0, 23010, 20412, 10018,  , 1730A5, 27078, 
221721,  ,  , 23015, 10017,  , 20414, 27076, 1113AAF0, 
221724, 20411, 1205A0,  , 1122CT3,  , 0842CE0, 10012,  , 
221727, 20415, 23011,  , 1122CT;, 27079, 0842CE8, 10015,  , 
221730, 0842CE5, 27071, 1730A2,  , 1162DPPA6, 23016,  , 10011, 
221733, 10016,  , 27072, 23014, 1122CT4, 1113AAF9, 111536, 0842CE3, 
221736, 1201A0, 23017,  , 20412, 10013,  , 1113AAF2, 27074, 
221739, 23013, 1201A1,  , 0842CE7,  , 20418,  ,  , 
221742, 1113AAF6, 10019, 1201A2, 23014, 20410, 27075, 0842CE4, 111535, 
221745, 10016,  , 1205A1, 23014, 1122CT<, 1162DPPA0, 27073, 0842CE3, 
221748, 2301:, 0842CE:,  , 20412, 10018,  , 1113AAF:, 27078, 
221751,  , 10019, 1281A2, 23014,  , 1122CT7, 20416, 1162DPPA2, 
221754, 10016,  , 27072,  , 20419, 1205A2,  , 23018, 
221757, 1201A0, 23011,  ,  , 0842CE6, 1001:,  , 1122CT=, 
221760,  , 1113AAF3, 1162DPPA3,  ,  , 1122CT?, 2041:, 10014, 
221763, 27077, 11153<, 23010, 10017,  , 20414,  , 1113AAF8, 
221766,  , 27071, 23015,  , 10013,  , 1162DPPA1, 20413, 
221769, 1122CT2, 1162DPPA4, 1205A1,  , 1113AAF7, 23016,  , 10011, 
221772, 1122CT:, 10019, 111530, 23014,  , 20418, 0842CE4, 27074, 
221775,  , 1281A1, 1122CT9,  , 1162DPPA6, 27075, 23019, 20417, 
221778, 20411, 1122CT0, 23010, 1113AAF4, 10018,  , 27076,  , 
221781, 27077, 0842CE2, 111538, 10017, 20410,  ,  , 23012, 
221784, 1162DPPA7, 23017,  , 1122CT3, 20419, 0842CE0, 10012, 27078, 
221787,  , 1201A1, 1730A2, 111532, 27079, 1113AAF1, 20416, 23018, 
221790,  , 1730A3, 1201A2, 11153:, 1122CT4, 23016, 2041:, 10011, 
221793, 10016,  , 27072, 23014, 1730A8, 1162DPPA8, 1205A3, 0842CE3, 
221796,  ,  , 1281A2, 1730A7, 1122CT<, 1113AAF9, 23019, 20413, 
221799, 23013,  ,  ,  , 111531, 0842CE8, 10015, 27074, 
221802, 20415, 1162DPPA4,  , 0842CE7,  , 10010, 27076,  , 
221805, 1113AAF6, 23011,  ,  , 0842CE6, 1001:,  , 1201B3, 
221808, 1201A0, 10019, 1162DPPA3, 23014,  , 20414, 1113AAF:, 0842CE3, 
221811, 1281A0, 23017,  ,  ,  , 20418, 10012, 1113AAF0, 
221814, 27077, 1281A1, 23015, 20412, 10013,  , 1162DPPA9, 1113AAF8, 
221817,  , 27071, 0842CE9, 1201B1, 10018,  ,  , 20417, 
221820,  , 1113AAF3, 1730A2,  , 27079, 1122CT?, 20416, 23018, 
221823, 1122CT2,  , 27072, 1730A7, 1113AAF7, 23016, 0842CE4, 10011, 
221826, 20411, 1205A0,  ,  , 1162DPPA6, 0842CE0, 10015,  , 
221829, 10016,  , 1205A1, 23014, 20410, 1730A1, 27076, 0842CE3, 
221832,  , 10019, 111530, 23014,  , 27070, 2041:, 1122CT5, 
221835, 2301:,  ,  ,  , 20419, 10010, 1730A0, 27074, 
221838, 0842CE5, 111534, 23010, 10017,  , 20414, 1162DPPA1, 1122CT=, 
221841,  , 11153<, 1122CT1,  ,  , 27075,  , 20413, 
221844, 1730A4, 0842CE2, 23015, 20412, 10013,  , 1162DPPA9, 27078, 
221847,  , 0842CE:, 1730A2,  , 10018,  ,  , 20417, 
221850,  , 1730A3, 1162DPPA3,  , 27079, 1113AAF1, 20416, 10014, 
221853, 20415,  , 23010, 10017, 111531,  , 1205A3,  , 
221856, 20411, 23011,  , 0842CE7,  , 1001:,  ,  , 
221859, 10016,  , 1201A2, 23014,  , 20418, 27073, 0842CE3, 
221862, 1162DPPA7, 23017,  ,  , 0842CE6, 1730A6, 10012, 27074, 
221865,  , 1162DPPA4, 23015, 1122CT3, 10013,  , 2041:, 1113AAF0, 
221868, 23013,  ,  , 1162DPPA5, 20410, 0842CE0, 10015, 27078, 
221871, 2301:,  ,  , 1122CT;, 20419, 10010,  , 1113AAF8, 
221874, 0842CE5, 23011,  ,  , 1122CT<, 1001:,  , 1730A9, 
221877,  , 1205A0, 1730A2,  , 27079, 23016,  , 20413, 
221880,  , 1201A1, 1113AAF5, 1730A7,  , 1162DPPA8, 23019, 20417, 
221883, 20415, 0842CE2, 23010,  , 10018,  , 1162DPPA1,  , 
221886, 1162DPPA7,  , 27072,  ,  , 20414, 0842CE4, 10011, 
221889,  , 23017,  , 1113AAF4, 1730A8,  , 20416, 111535, 
221892,  , 10019, 1201A2,  , 1113AAF7, 27070, 2041:, 23012, 
221895, 111533, 1205A0, 1162DPPA3,  ,  , 20418, 1122CT6, 27074, 
221898, 23013,  ,  , 0842CE7, 20410, 1113AAF1, 10015, 27078, 
221901, 2301:, 111534,  ,  , 0842CE6, 10010,  , 1113AAF0, 
221904,  , 1730A3, 1281A2,  , 27079, 1122CT?,  , 20413, 
221907, 27077, 11153<, 23015, 20412,  ,  , 1201B2, 1113AAF8, 
221910, 20411, 27071, 0842CE9,  , 10013,  , 23019,  , 
221913, 1122CT2, 1162DPPA4, 1201A2, 1730A7, 20419, 27070,  , 23012, 
221916, 1122CT:,  , 27072,  , 111531, 23016, 0842CE4, 10014, 
221919, 10016,  , 111538, 1162DPPA5,  , 20414,  , 23018, 
221922, 1281A0, 23011,  ,  , 27079, 1001:,  , 1162DPPA2, 
221925, 20415, 23017,  , 111532, 1162DPPA6, 0842CE8, 10012,  , 
221928,  , 1281A1, 1122CT1, 11153:,  , 1162DPPA8, 23019, 20417, 
221931, 0842CE5,  , 23010, 20412, 10018,  ,  , 1730A9, 
220039, 10024, 3034CC7,  , 17313, 111539,  , 1162DPPA1,  , 
220042, 1002:, 14017, 3034CC2, 1201B1,  ,  , 1162DPPA9,  , 
220045,  ,  , 14016, 27210, 10021,  ,  , 1162DPPA:, 
220048, 3034CC0, 17319,  , 14013, 10027, 111537,  , 08334, 
220051,  , 27215, 1113AAF5, 1122CT;, 14012, 10020,  , 111535, 
220054, 1205B0, 08332,  , 27218, 1401:, 10026,  ,  , 
220057,  , 1162DPPA4,  ,  , 27211, 1122CT7, 10022, 11153=, 
220060, 08339,  ,  , 1113AAF4, 27219, 0397A6, 17317, 1162DPPA2, 
220063, 111533, 1113AAF3, 1162DPPA3,  , 1281B1, 14010, 10028, 3034CC4, 
220066, 17314,  , 3034CC2, 10023,  , 1122CT?, 14011,  , 
220069, 11153;,  ,  , 10029,  , 17316, 14019, 1113AAF0, 
220072, 3034CC0, 17319,  ,  , 1205B2, 1113AAF1, 1122CT6, 10025, 
220075, 2721:,  ,  , 10023,  , 1162DPPA0, 1122CT>, 14015, 
220078,  , 27215, 17318, 08331,  , 14018, 3034CC6, 1113AAF8, 
220081, 1122CT2, 3034CC7, 08333, 10023,  , 1162DPPA8, 14011,  , 
220084, 08339,  , 3034CC2, 27210, 17312,  , 1162DPPA1,  , 
220087,  ,  ,  , 08336,  , 1113AAF9, 14019, 1162DPPA:, 
220090,  , 11153<,  ,  , 27211, 17310, 10022, 1122CT=, 
220093,  , 1162DPPA4,  , 14013, 10021, 0397A6,  , 3034CC4, 
220096, 3034CC0,  , 1162DPPA3,  , 10027, 0833;,  ,  , 
220099,  , 3034CC7,  ,  , 111539, 17316, 08337,  , 
220102, 1002:, 14017,  , 3034CC1, 17312,  ,  , 08334, 
220105, 10024, 1122CT8, 14016, 11153:, 3034CC3,  , 1113AAF:,  , 
220108, 27212, 17319, 3034CC2,  , 1401:, 10020, 0833:,  , 
220111, 17314,  , 1113AAF5,  ,  , 1162DPPA8, 0397A5, 10025, 
220114, 14014, 08332,  , 17313, 1162DPPA6, 3034CC5, 111536,  , 
220117,  ,  , 1122CT9, 10023,  , 14010, 3034CC6, 111535, 
220120, 3034CC0, 27215, 08333, 1113AAF4, 1201B0, 17316, 1162DPPA1,  , 
220123, 1002:, 08332,  , 3034CC1, 1281B1,  , 1162DPPA9,  , 
220126, 1205B0,  , 14016,  , 3034CC3, 08338, 10022, 1162DPPA2, 
220129, 14014,  ,  , 1205B1, 27211, 3034CC5, 17317, 1162DPPA:, 
220132, 111533,  ,  , 1122CT;, 27219, 10026,  , 08334, 
220135, 1162DPPA7, 3034CC7,  , 14013, 10021, 1113AAF9,  ,  , 
220138, 11153;, 14017, 3034CC2,  , 17312, 0833;, 10028,  , 
220141, 3034CC0, 111534, 1162DPPA3,  , 08330, 17310, 14011, 10025, 
